"","story","response","n"
"1","performing","lead",2
"2","performing","saxophone",2
"3","performing","solo",2
"4","performing","bagpipes",1
"5","performing","banjo",1
"6","performing","bass",1
"7","performing","bluebird",1
"8","performing","clarinet",1
"9","performing","harmonica",1
"10","performing","king",1
"11","performing","nationl anthem",1
"12","performing","saxaphone",1
"13","performing","slide whistle",1
"14","performing","solo ",1
"15","performing","xylophone",1
