"","story","response","n"
"1","park","kickball",3
"2","park","hopscotch",2
"3","park","ball",1
"4","park","bball",1
"5","park","catch",1
"6","park","dodgeball",1
"7","park","hoops",1
"8","park","pirates",1
"9","park","stickball",1
