"","story","response","n"
"1","lesson","ballet",2
"2","lesson","saxophone",1
"3","lesson","swimming",1
"4","lesson","wrestling",1
"5","lesson","brazilian jiujistu",1
"6","lesson","cello",1
"7","lesson","cooking",1
"8","lesson","dance",1
"9","lesson","drum",1
"10","lesson","french",1
"11","lesson","school",1
"12","lesson","swim",1
"13","lesson","trombone",1
"14","lesson","trumpet",1
