"","story","response","n"
"1","blue car","prius",2
"2","blue car","tesla",1
"3","blue car","chevy camaro",1
"4","blue car","convertible",1
"5","blue car","dodge charger",1
"6","blue car","ford bronco",1
"7","blue car","hyundai",1
"8","blue car","key",1
"9","blue car","key fob",1
"10","blue car","sedan ",1
"11","blue car","sentra",1
"12","blue car","toyota carola",1
"13","blue car","volvo",1
