"","story","response","n"
"1","food","brussel sprouts",1
"2","food","burger",1
"3","food","cereal",1
"4","food","cheesy nacho fries",1
"5","food","chow",1
"6","food","dinner date",1
"7","food","doughnuts",1
"8","food","enchiladas",1
"9","food","hot dogs",1
"10","food","lasagna",1
"11","food","mexican",1
"12","food","pasta",1
"13","food","philly cheesesteak",1
"14","food","popeyes",1
"15","food","soup",1
"16","food","stinky tofu",1
"17","food","taco bell",1
"18","food","waffles",1
