"","story","response","n"
"1","game with friends","baseball",2
"2","game with friends","call  duty",1
"3","game with friends","catan",1
"4","game with friends","dominos",1
"5","game with friends","foosball",1
"6","game with friends","mario kart",1
"7","game with friends","mariokart",1
"8","game with friends","street fighter",1
"9","game with friends","super smash bros",1
"10","game with friends","uno",1
