"","story","response","n"
"1","radio","metal",2
"2","radio","classical",1
"3","radio","classical music",1
"4","radio","cool jazz",1
"5","radio","dubstep",1
"6","radio","electronic music",1
"7","radio","emo",1
"8","radio","entertainment",1
"9","radio","fado",1
"10","radio","good cds",1
"11","radio","ian",1
"12","radio","old school classics",1
"13","radio","punk rock",1
