"","story","response","n"
"1","lazy day","golf",2
"2","lazy day","",1
"3","lazy day","balling",1
"4","lazy day","climb",1
"5","lazy day","garden",1
"6","lazy day","go hiking",1
"7","lazy day","hike ",1
"8","lazy day","play  guitar",1
"9","lazy day","spend time   family",1
"10","lazy day","watch football",1
