"","story","response","n"
"1","practice","volleyball",3
"2","practice","karate",2
"3","practice","karate ",2
"4","practice","uke",1
"5","practice","",1
"6","practice","swim",1
"7","practice","hockey ",1
"8","practice","volleyall",1
