assignmentid,workerid
3NL0RFNU0KBM9IIVOLL334TW7F84KD,0
3TMSXRD2XBOWCJFTQHL4THGOI271WT,1
3Z7VU45IP3506EKY145BSLA6Z4B1ZJ,2
33SA9F9TR2IVWK9525GJ01ZI7BBEWP,3
